ip_address,city_network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,postal_code,latitude,longitude,accuracy_radius,continent_code,country_iso_code,subdivision_1_iso_code,subdivision_2_iso_code,metro_code,time_zone,is_in_european_union,asn_network,autonomous_system_number,is_tor_node
A:24.240.72.170,B:24.240.72.0/23,C:5025471,D:6252001,E:,F:0,G:55330,H:45.3038,I:-93.5672,J:10,K:NA,L:US,M:MN,N:,O:613,P:America/Chicago,Q:0,R:24.240.0.0/17,S:20115,T:1
A:171.25.193.235,B:171.25.193.0/24,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:171.25.193.0/24,S:198093,T:1
A:178.175.148.246,B:178.175.144.0/20,C:617790,D:617790,E:,F:0,G:,H:47.0188,I:28.8128,J:1000,K:EU,L:MD,M:,N:,O:,P:Europe/Chisinau,Q:0,R:178.175.148.0/23,S:43289,T:1
A:5.255.123.158,B:5.255.123.0/24,C:2756559,D:2750405,E:,F:0,G:8253,H:52.5378,I:5.6966,J:20,K:EU,L:NL,M:FL,N:,O:,P:Europe/Amsterdam,Q:1,R:5.255.96.0/19,S:60404,T:1
A:45.128.133.242,B:45.128.133.0/24,C:2800866,D:453733,E:,F:0,G:1140,H:50.8729,I:4.4038,J:20,K:EU,L:BE,M:BRU,N:,O:,P:Europe/Brussels,Q:1,R:45.128.132.0/22,S:206804,T:1
A:185.40.4.92,B:185.40.4.0/24,C:3143244,D:3577718,E:,F:0,G:0031,H:59.9133,I:10.7389,J:20,K:EU,L:NO,M:03,N:,O:,P:Europe/Oslo,Q:0,R:185.40.4.0/24,S:200195,T:1
A:2.56.10.36,B:2.56.10.0/24,C:2750405,D:241170,E:,F:0,G:,H:52.3824,I:4.8995,J:100,K:EU,L:NL,M:,N:,O:,P:Europe/Amsterdam,Q:1,R:2.56.10.0/24,S:213373,T:1
A:87.118.110.27,B:87.118.108.0/22,C:2921044,D:2921044,E:,F:0,G:,H:51.2993,I:9.4910,J:200,K:EU,L:DE,M:,N:,O:,P:Europe/Berlin,Q:1,R:87.118.64.0/18,S:31103,T:1
A:178.17.170.144,B:178.17.168.0/21,C:618426,D:617790,E:,F:0,G:MD-2000,H:47.0042,I:28.8574,J:20,K:EU,L:MD,M:CU,N:,O:,P:Europe/Chisinau,Q:0,R:178.17.160.0/20,S:43289,T:1
A:149.202.79.129,B:149.202.72.0/21,C:3017382,D:3017382,E:,F:0,G:,H:48.8582,I:2.3387,J:500,K:EU,L:FR,M:,N:,O:,P:Europe/Paris,Q:1,R:149.202.0.0/16,S:16276,T:1
A:91.208.75.3,B:91.208.75.0/24,C:798549,D:798549,E:,F:0,G:,H:45.9968,I:24.9970,J:200,K:EU,L:RO,M:,N:,O:,P:Europe/Bucharest,Q:1,R:91.208.75.0/24,S:6718,T:1
A:93.95.231.88,B:93.95.230.0/23,C:2629691,D:2629691,E:,F:0,G:,H:65.0000,I:-18.0000,J:200,K:EU,L:IS,M:,N:,O:,P:Atlantic/Reykjavik,Q:0,R:93.95.224.0/21,S:44925,T:1
A:209.141.51.180,B:209.141.32.0/19,C:5506956,D:6252001,E:,F:0,G:89119,H:36.1020,I:-115.1447,J:20,K:NA,L:US,M:NV,N:,O:839,P:America/Los_Angeles,Q:0,R:209.141.32.0/19,S:53667,T:1
